Πολύδροσο,Friday+ Saturday+ Sunday,21:00+ 22:00+ 23:00,Φωκιανό+ AFC
ΡΕΜΑΛ ΒΑΓΙΑΒΙΟΛΙΔ,Thursday+ Friday,20:00+ 21:00+ 22:00,Φωκιανό
Bonobo FC,Thursday+ Friday,20:00+ 21:00,Φωκιανό+ AFC
Ατάβανοι,Friday+ Saturday+ Sunday,20:00+ 21:00,Φωκιανό+ AFC
LiverHool FC,Tuesday+ Wednesday+ Thursday+ Friday,20:00+ 21:00+ 22:00+ 23:00,Φωκιανό+ City Soccer Aιγάλεω/Eλαιώνας
Όμορφες Γυναίκες,Monday+ Wednesday+ Friday,20:00+ 21:00+ 22:00,Φωκιανό+ AFC+City Soccer Aιγάλεω/Eλαιώνας
Έπι-Κρήτες FC,Wednesday+ Thursday+ Friday,13:00 έως 16:00+ 20:00+ 21:00+ 22:00,Φωκιανό+ Αθλητικό Κέντρο Γουδί
Greek Pie,Wednesday+ Sunday,20:00+ 21:00+ 22:00,AFC+ Renti
Goal Digger FC,Friday+ Tuesday,22:00,Φωκιανό+ AFC
ΠΑΝΔΗΜΙΑΚΟΣ fc,Tuesday+ Wednesday,21:00+ 22:00,Φωκιανό+ City Soccer Aιγάλεω/Eλαιώνας
ΚεμΠΑΠΕΙτζίδες,Tuesday+ Sunday,20:00+ 21:00,Φωκιανό +Renti
Πόρτο Τζιβάνα,Monday+ Thursday,20:00+ 21:00,Φωκιανό+ AFC
Mpales fc,Thursday+ Sunday,13:00 έως 16:00+ 22:00,Renti
SilverCity,Tuesday+ Thursday,21:00+ 22:00,Renti+ Αθλητικό Γήπεδο Ηλιούπολης 
Hermosos Bastardos,Wednesday+ Thursday,20:00+ 21:00,Φωκιανό+ AFC
Λιώρμουθ FC,Monday+ Tuesday+ Wednesday+ Saturday,13:00 έως 16:00+ 20:00+ 21:00,Φωκιανό+ AFC
Ελα-Bye,Monday+ Wednesday,20:00+ 21:00+ 22:00,Φωκιανό+ AFC
Kliκa FC,Thursday+ Sunday,20:00+ 21:00,Φωκιανό+ AFC
50 ΚΑΡΑΤΙΑ,Saturday+ Sunday,21:00+ 22:00,Φωκιανό+ AFC+ Αθλητικό Κέντρο Γουδί
Bala Ciao,Thursday+ Saturday+ Sunday,20:00+ 21:00+ 22:00+ 23:00,Φωκιανό
ΔωΔΕΤαθεο F.C.,Thursday+ Friday+ Sunday,20:00+ 21:00+ 22:00,Φωκιανό+ AFC
Χαβαλένθια,Monday+ Tuesday,21:00+ 22:00+ 23:00,Φωκιανό+ Αθλητικό Γήπεδο Ηλιούπολης 
Los Jugadores,Wednesday+ Thursday,20:00+ 21:00+ 22:00,Φωκιανό+ City Soccer Aιγάλεω/Eλαιώνας
Τιζμι Φιζμι Χιζμι,Thursday+ Saturday+ Sunday,20:00+ 21:00,Φωκιανό
αο πουλατων,Saturday+ Sunday,20:00+ 21:00,Φωκιανό+ AFC
Barceλιωμα,Wednesday+ Thursday,20:00+ 21:00,Φωκιανό+ AFC
LOCOZ,Saturday+ Sunday,20:00+ 21:00+ 22:00,Φωκιανό+ AFC
Kaulopistola,Monday+ Saturday,13:00 έως 16:00+ 21:00,Φωκιανό +Renti
ΟΔΕν περνάμε μάθημα,Monday+ Friday,20:00+ 21:00,Φωκιανό+ City Soccer Aιγάλεω/Eλαιώνας
Sporting Gidon F.C,Monday+ Tuesday+ Thursday,21:00+ 22:00,Φωκιανό + Αθλητικό Γήπεδο Ηλιούπολης 
Διαγορας παρισιου,Monday+ Thursday,20:00+ 21:00,Φωκιανό+ City Soccer Aιγάλεω/Eλαιώνας
Two Bees FC,Tuesday+ Saturday+ Sunday,20:00+ 21:00+ 22:00,Φωκιανό+ AFC
Φάτε Όσαμπορισοφ,Monday+ Tuesday+ Thursday,20:00+ 21:00,City Soccer Aιγάλεω/Eλαιώνας+ Renti
Inter Piraeus Fc,Friday+ Saturday+ Sunday,13:00 έως 16:00+ 20:00,Φωκιανό+ Αθλητικό Κέντρο Γουδί
Ανομολόγητα ΑΣΟΕΕ,Monday+ Wednesday+ Friday+ Saturday+ Sunday,20:00+ 21:00+ 22:00,Φωκιανό
ΔιακοΠΆΡΟ,Tuesday+ Friday,20:00+ 21:00,Φωκιανό+ AFC
ΟΠΑ ΤΖΟΥΝΙΟΡΣ,Tuesday+ Friday+ Sunday,20:00+ 21:00,Φωκιανό+ AFC
Ράγιο ΠΑ.ΠΕΙκάνο,Wednesday+ Sunday,20:00+ 21:00,Φωκιανό+City Soccer Aιγάλεω/Eλαιώνας
To ΠΑΠΕΙράζει F.C.,Monday+ Tuesday+ Friday,20:00+ 21:00+ 22:00,Φωκιανό+ AFC+City Soccer Aιγάλεω/Eλαιώνας+ Renti
Παρτούζανς,Tuesday+ Wednesday+ Saturday+ Sunday,21:00+ 22:00+ 23:00,Φωκιανό+ AFC
ΠΟΔΟΣΦΑΙΡΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΑΜΠΑΛΙΑΣ,Wednesday+ Thursday+ Saturday+ Sunday,21:00+ 22:00+ 23:00,Φωκιανό+ AFC+ Αθλητικό Γήπεδο Ηλιούπολης 
Auebameyang,Thursday+ Sunday,20:00+ 21:00,Φωκιανό+ AFC
Μανιαριτες F.C.,Monday+ Saturday+ Sunday,21:00+ 22:00+ 23:00,Φωκιανό+ AFC
ΑΣΤΟΝ ΜΠΥΡΑ,Saturday+ Sunday,13:00 έως 16:00+ 20:00,Φωκιανό+ AFC+City Soccer Aιγάλεω/Eλαιώνας+ Renti
WHATEVERTON,Wednesday+ Sunday,20:00+ 21:00,Φωκιανό +City Soccer Aιγάλεω/Eλαιώνας
Drink team🍻,Tuesday+ Friday+ Saturday,20:00+ 21:00,Φωκιανό+ AFC
Αμπαλοι,Saturday+ Sunday,21:00+ 22:00,Φωκιανό+AFC 
ΠΑΠΕΙΝΤ ΒΙΕΝΝΗΣ,Saturday+ Sunday,13:00 έως 16:00+ 20:00,City Soccer Aιγάλεω/Eλαιώνας+ Renti
Βουνά fc,Monday+ Tuesday+ Thursday,22:00+ 23:00,Φωκιανό+City Soccer Aιγάλεω/Eλαιώνας
ΑΤΑΛΕΝΤΑ,Monday+ Wednesday,21:00+ 22:00,Φωκιανό+City Soccer Aιγάλεω/Eλαιώνας
Λοχρητες 301,Tuesday+ Saturday,13:00 έως 16:00+ 22:00,Φωκιανό+ Renti
Τιγρέ Σποράκια,Saturday+ Sunday,20:00+ 21:00+ 22:00+ 23:00,Φωκιανό+AFC 
Baca juniors,Wednesday+ Thursday,20:00+ 21:00,AFC+City Soccer Aιγάλεω/Eλαιώνας
Νερατζουρι,Monday+ Wednesday+ Thursday,13:00 έως 16:00+ 20:00+ 21:00+ 22:00,Φωκιανό+AFC + Αθλητικό Κέντρο Γουδί
ΚΑΠΗ ΕΦ.ΣΙ.,Friday+ Saturday+ Sunday,13:00 έως 16:00+ 20:00,Renti+ Αθλητικό Γήπεδο Ηλιούπολης 
Μιδελταδες,Saturday+ Sunday,21:00+ 22:00+ 23:00,AFC+ Renti
Rapid Kallitheas,Monday+ Saturday+ Sunday,13:00 έως 16:00+ 21:00+ 22:00,Φωκιανό+ Renti+City Soccer Aιγάλεω/Eλαιώνας
Φονικά Μούσμουλα,Monday+ Tuesday+ Wednesday+ Thursday+ Friday+ Saturday+ Sunday,20:00+ 21:00+ 22:00,Φωκιανό+ Αθλητικό Κέντρο Γουδί
ETSI FC,Tuesday+ Sunday,13:00 έως 16:00+ 21:00,Φωκιανό+City Soccer Aιγάλεω/Eλαιώνας
Παρτουζαν,Monday+ Tuesday+ Friday+ Saturday+ Sunday,20:00+ 21:00+ 22:00,Φωκιανό+AFC + Αθλητικό Γήπεδο Ηλιούπολης 
Ρεμάλ Μαδρίτης,Monday+ Wednesday+ Thursday,20:00+ 21:00,Φωκιανό+AFC 
BLUE FLAME LOCOS,Monday+ Tuesday,13:00 έως 16:00+ 22:00,Φωκιανό+ Αθλητικό Κέντρο Γουδί
KOUVADEIROS,Tuesday+ Friday,20:00+ 21:00+ 22:00,Αθλητικό Γήπεδο Ηλιούπολης + Αθλητικό Κέντρο Γουδί
ΑΛΑΝΙΑΣΠΟΡ,Tuesday+ Wednesday,20:00+ 21:00+ 22:00,Φωκιανό+ Renti+City Soccer Aιγάλεω/Eλαιώνας
